Entry	Reviewed	Entry Name	Protein names	Length	InterPro
A8CG34	reviewed	P121C_HUMAN	Nuclear envelope pore membrane protein POM 121C (Nuclear pore membrane protein 121-2) (POM121-2) (Pore membrane protein of 121 kDa C)	1229	IPR026054;
A8K2U0	reviewed	A2ML1_HUMAN	Alpha-2-macroglobulin-like protein 1 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 9)	1454	IPR009048;IPR036595;IPR050473;IPR011625;IPR041813;IPR047565;IPR011626;IPR013783;IPR014756;IPR001599;IPR019742;IPR002890;IPR041555;IPR040839;IPR008930;
A8K7I4	reviewed	CLCA1_HUMAN	Calcium-activated chloride channel regulator 1 (EC 3.4.-.-) (Calcium-activated chloride channel family member 1) (hCLCA1) (Calcium-activated chloride channel protein 1) (CaCC-1) (hCaCC-1)	914	IPR004727;IPR013642;IPR051266;IPR013783;IPR002035;IPR036465;
A8K8P3	reviewed	SFI1_HUMAN	Protein SFI1 homolog (hSFI1)	1242	IPR052270;
A8MW92	reviewed	P20L1_HUMAN	PHD finger protein 20-like protein 1	1017	IPR014002;IPR040477;IPR043449;IPR002999;IPR047405;IPR019786;IPR011011;IPR013083;
A8MYU2	reviewed	KCNU1_HUMAN	Potassium channel subfamily U member 1 (Calcium-activated potassium channel subunit alpha-3) (Calcium-activated potassium channel, subfamily M subunit alpha-3) (KCa5) (Slowpoke homolog 3)	1149	IPR005821;IPR003929;IPR047871;IPR003148;IPR048735;
A8TX70	reviewed	CO6A5_HUMAN	Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain) (von Willebrand factor A domain-containing protein 4)	2615	IPR008160;IPR050525;IPR002035;IPR036465;
B0I1T2	reviewed	MYO1G_HUMAN	Unconventional myosin-Ig [Cleaved into: Minor histocompatibility antigen HA-2 (mHag HA-2)]	1018	IPR036961;IPR001609;IPR010926;IPR036072;IPR027417;
B1AK53	reviewed	ESPN_HUMAN	Espin (Autosomal recessive deafness type 36 protein) (Ectoplasmic specialization protein)	854	IPR002110;IPR036770;IPR052420;IPR003124;
B2RTY4	reviewed	MYO9A_HUMAN	Unconventional myosin-IXa (Unconventional myosin-9a)	2548	IPR046349;IPR000048;IPR036961;IPR046987;IPR001609;IPR036023;IPR027417;IPR002219;IPR000159;IPR028558;IPR008936;IPR000198;IPR046990;IPR029071;
M0R2J8	reviewed	DCDC1_HUMAN	Doublecortin domain-containing protein 1 (Doublecortin domain-containing 5 protein)	1783	IPR043188;IPR056415;IPR003533;IPR036572;IPR035992;IPR057424;
O00159	reviewed	MYO1C_HUMAN	Unconventional myosin-Ic (Myosin I beta) (MMI-beta) (MMIb)	1063	IPR000048;IPR036961;IPR001609;IPR010926;IPR036072;IPR027417;
O00160	reviewed	MYO1F_HUMAN	Unconventional myosin-If (Myosin-Ie)	1098	IPR035507;IPR036961;IPR001609;IPR010926;IPR036072;IPR027417;IPR036028;IPR001452;
O00192	reviewed	ARVC_HUMAN	Splicing regulator ARVCF (Armadillo repeat protein deleted in velo-cardio-facial syndrome)	962	IPR011989;IPR016024;IPR000225;IPR028435;
O00203	reviewed	AP3B1_HUMAN	AP-3 complex subunit beta-1 (Adaptor protein complex AP-3 subunit beta-1) (Adaptor-related protein complex 3 subunit beta-1) (Beta-3A-adaptin) (Clathrin assembly protein complex 3 beta-1 large chain)	1094	IPR026740;IPR056314;IPR029394;IPR029390;IPR026739;IPR011989;IPR016024;IPR015151;IPR002553;
O00206	reviewed	TLR4_HUMAN	Toll-like receptor 4 (hToll) (CD antigen CD284)	839	IPR000483;IPR001611;IPR025875;IPR003591;IPR032675;IPR000157;IPR017241;IPR035897;
O00222	reviewed	GRM8_HUMAN	Metabotropic glutamate receptor 8 (mGluR8)	908	IPR001828;IPR000337;IPR011500;IPR038550;IPR017978;IPR017979;IPR000144;IPR000162;IPR050726;IPR028082;
O00267	reviewed	SPT5H_HUMAN	Transcription elongation factor SPT5 (hSPT5) (DRB sensitivity-inducing factor 160 kDa subunit) (DSIF p160) (DRB sensitivity-inducing factor large subunit) (DSIF large subunit) (Tat-cotransactivator 1 protein) (Tat-CT1 protein)	1087	IPR005824;IPR041973;IPR041975;IPR041976;IPR041977;IPR041978;IPR041980;IPR057934;IPR057936;IPR005100;IPR006645;IPR036735;IPR039385;IPR014722;IPR039659;IPR024945;IPR022581;IPR017071;IPR008991;
O00268	reviewed	TAF4_HUMAN	Transcription initiation factor TFIID subunit 4 (RNA polymerase II TBP-associated factor subunit C) (TBP-associated factor 4) (Transcription initiation factor TFIID 130 kDa subunit) (TAF(II)130) (TAFII-130) (TAFII130) (Transcription initiation factor TFIID 135 kDa subunit) (TAF(II)135) (TAFII-135) (TAFII135)	1085	IPR009072;IPR045144;IPR007900;IPR037249;IPR003894;
O00291	reviewed	HIP1_HUMAN	Huntingtin-interacting protein 1 (HIP-1) (Huntingtin-interacting protein I) (HIP-I)	1037	IPR011417;IPR013809;IPR008942;IPR032422;IPR035964;IPR002558;IPR030224;
O00308	reviewed	WWP2_HUMAN	NEDD4-like E3 ubiquitin-protein ligase WWP2 (EC 2.3.2.26) (Atrophin-1-interacting protein 2) (AIP2) (HECT-type E3 ubiquitin transferase WWP2) (WW domain-containing protein 2)	870	IPR000008;IPR035892;IPR024928;IPR050409;IPR000569;IPR035983;IPR001202;IPR036020;
O00329	reviewed	PK3CD_HUMAN	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform (PI3-kinase subunit delta) (PI3K-delta) (PI3Kdelta) (PtdIns-3-kinase subunit delta) (EC 2.7.1.137) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit delta) (PtdIns-3-kinase subunit p110-delta) (p110delta)	1044	IPR016024;IPR035892;IPR011009;IPR037703;IPR015433;IPR000403;IPR036940;IPR018936;IPR002420;IPR003113;IPR001263;IPR042236;IPR000341;IPR029071;
O00339	reviewed	MATN2_HUMAN	Matrilin-2	956	IPR026823;IPR050525;IPR000742;IPR001881;IPR000152;IPR009030;IPR036337;IPR019466;IPR049883;IPR002035;IPR036465;
O00370	reviewed	LORF2_HUMAN	LINE-1 retrotransposable element ORF2 protein (ORF2p) [Includes: Reverse transcriptase (EC 2.7.7.49); Endonuclease (EC 3.1.21.-)]	1275	IPR043502;IPR036691;IPR005135;IPR000477;
O00408	reviewed	PDE2A_HUMAN	cGMP-dependent 3',5'-cyclic phosphodiesterase (EC 3.1.4.17) (Cyclic GMP-stimulated phosphodiesterase) (CGS-PDE) (cGSPDE)	941	IPR003018;IPR029016;IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;
O00410	reviewed	IPO5_HUMAN	Importin-5 (Imp5) (Importin subunit beta-3) (Karyopherin beta-3) (Ran-binding protein 5) (RanBP5)	1097	IPR011989;IPR016024;IPR000357;IPR058584;IPR001494;IPR040122;IPR041653;IPR040928;IPR041389;IPR034085;IPR057672;
O00411	reviewed	RPOM_HUMAN	DNA-directed RNA polymerase, mitochondrial (MtRPOL) (EC 2.7.7.6)	1230	IPR046950;IPR002092;IPR043502;IPR037159;IPR029262;IPR011990;
O00423	reviewed	EMAL1_HUMAN	Echinoderm microtubule-associated protein-like 1 (EMAP-1) (HuEMAP-1)	815	IPR055442;IPR055439;IPR005108;IPR011047;IPR015943;IPR036322;IPR001680;IPR050630;
O00443	reviewed	P3C2A_HUMAN	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha (PI3K-C2-alpha) (PtdIns-3-kinase C2 subunit alpha) (EC 2.7.1.137) (EC 2.7.1.153) (EC 2.7.1.154) (Phosphoinositide 3-kinase-C2-alpha)	1686	IPR016024;IPR000008;IPR035892;IPR011009;IPR037705;IPR015433;IPR000403;IPR036940;IPR018936;IPR002420;IPR001263;IPR042236;IPR000341;IPR001683;IPR036871;IPR042133;IPR029071;
O00444	reviewed	PLK4_HUMAN	Serine/threonine-protein kinase PLK4 (EC 2.7.11.21) (Polo-like kinase 4) (PLK-4) (Serine/threonine-protein kinase 18) (Serine/threonine-protein kinase Sak)	970	IPR011009;IPR047108;IPR000959;IPR033699;IPR033698;IPR033696;IPR000719;IPR017441;IPR046437;IPR008266;
O00462	reviewed	MANBA_HUMAN	Beta-mannosidase (EC 3.2.1.25) (Lysosomal beta A mannosidase) (Mannanase) (Mannase)	879	IPR036156;IPR054593;IPR050887;IPR041625;IPR008979;IPR017853;IPR006103;IPR013783;IPR041447;
O00468	reviewed	AGRIN_HUMAN	Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment (C90); Agrin C-terminal 22 kDa fragment (C22)]	2068	IPR013320;IPR000742;IPR001881;IPR003884;IPR003645;IPR002350;IPR036058;IPR001791;IPR002049;IPR050372;IPR004850;IPR000082;IPR036364;IPR008993;
O00507	reviewed	USP9Y_HUMAN	Ubiquitin carboxyl-terminal hydrolase 9Y (EC 3.4.19.12) (Deubiquitinating enzyme FAF-Y) (Fat facets protein-related, Y-linked) (Ubiquitin thioesterase FAF-Y) (Ubiquitin-specific protease 9, Y chromosome) (Ubiquitin-specific-processing protease FAF-Y)	2555	IPR016024;IPR056850;IPR021905;IPR038765;IPR050164;IPR001394;IPR055176;IPR028889;IPR018200;
O00512	reviewed	BCL9_HUMAN	B-cell CLL/lymphoma 9 protein (B-cell lymphoma 9 protein) (Bcl-9) (Protein legless homolog)	1426	IPR015668;IPR024670;IPR013083;
O00533	reviewed	NCHL1_HUMAN	Neural cell adhesion molecule L1-like protein (Close homolog of L1) [Cleaved into: Processed neural cell adhesion molecule L1-like protein]	1208	IPR003961;IPR036116;IPR007110;IPR036179;IPR013783;IPR013098;IPR003599;IPR003598;IPR013151;IPR051170;IPR026966;
O00555	reviewed	CAC1A_HUMAN	Voltage-dependent P/Q-type calcium channel subunit alpha-1A (Brain calcium channel I) (BI) (Calcium channel, L type, alpha-1 polypeptide isoform 4) (Voltage-gated calcium channel subunit alpha Cav2.1)	2506	IPR005448;IPR031649;IPR005821;IPR014873;IPR050599;IPR002077;IPR027359;
O00562	reviewed	PITM1_HUMAN	Membrane-associated phosphatidylinositol transfer protein 1 (Drosophila retinal degeneration B homolog) (Phosphatidylinositol transfer protein, membrane-associated 1) (PITPnm 1) (Pyk2 N-terminal domain-interacting receptor 2) (NIR-2)	1244	IPR004177;IPR036412;IPR023214;IPR031315;IPR001666;IPR055261;IPR023393;
O00750	reviewed	P3C2B_HUMAN	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta (PI3K-C2-beta) (PtdIns-3-kinase C2 subunit beta) (EC 2.7.1.137) (EC 2.7.1.154) (C2-PI3K) (Phosphoinositide 3-kinase-C2-beta)	1634	IPR016024;IPR000008;IPR035892;IPR011009;IPR015433;IPR000403;IPR036940;IPR018936;IPR002420;IPR001263;IPR042236;IPR000341;IPR001683;IPR036871;IPR042134;IPR029071;
O00754	reviewed	MA2B1_HUMAN	Lysosomal alpha-mannosidase (Laman) (EC 3.2.1.24) (Lysosomal acid alpha-mannosidase) (Mannosidase alpha class 2B member 1) (Mannosidase alpha-B) [Cleaved into: Lysosomal alpha-mannosidase A peptide; Lysosomal alpha-mannosidase B peptide; Lysosomal alpha-mannosidase C peptide; Lysosomal alpha-mannosidase D peptide; Lysosomal alpha-mannosidase E peptide]	1011	IPR011013;IPR041147;IPR011330;IPR011682;IPR015341;IPR037094;IPR000602;IPR027291;IPR028995;IPR013780;IPR050843;IPR048534;
O00763	reviewed	ACACB_HUMAN	Acetyl-CoA carboxylase 2 (EC 6.4.1.2) (ACC-beta)	2458	IPR049076;IPR049074;IPR034733;IPR013537;IPR011761;IPR013815;IPR005481;IPR011764;IPR005482;IPR000089;IPR029045;IPR011763;IPR011762;IPR005479;IPR016185;IPR011054;IPR011053;
O14490	reviewed	DLGP1_HUMAN	Disks large-associated protein 1 (DAP-1) (Guanylate kinase-associated protein) (hGKAP) (PSD-95/SAP90-binding protein 1) (SAP90/PSD-95-associated protein 1) (SAPAP1)	977	IPR005026;
O14497	reviewed	ARI1A_HUMAN	AT-rich interactive domain-containing protein 1A (ARID domain-containing protein 1A) (B120) (BRG1-associated factor 250) (BAF250) (BRG1-associated factor 250a) (BAF250A) (Osa homolog 1) (hOSA1) (SWI-like protein) (SWI/SNF complex protein p270) (SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin subfamily F member 1) (hELD)	2285	IPR030094;IPR001606;IPR036431;IPR011989;IPR016024;IPR021906;IPR033388;
O14511	reviewed	NRG2_HUMAN	Pro-neuregulin-2, membrane-bound isoform (Pro-NRG2) [Cleaved into: Neuregulin-2 (NRG-2) (Divergent of neuregulin-1) (DON-1) (Neural- and thymus-derived activator for ERBB kinases) (NTAK)]	850	IPR000742;IPR007110;IPR036179;IPR013783;IPR013098;IPR003599;IPR003598;IPR040180;IPR002154;IPR057911;IPR057909;
O14513	reviewed	NCKP5_HUMAN	Nck-associated protein 5 (NAP-5) (Peripheral clock protein)	1909	IPR032769;IPR026163;
O14514	reviewed	AGRB1_HUMAN	Adhesion G protein-coupled receptor B1 (Brain-specific angiogenesis inhibitor 1) [Cleaved into: Vasculostatin-40 (Vstat40); Vasculostatin-120 (Vstat120)]	1584	IPR043838;IPR032471;IPR057244;IPR046338;IPR017981;IPR008077;IPR036445;IPR001879;IPR000832;IPR000203;IPR000884;IPR036383;
O14522	reviewed	PTPRT_HUMAN	Receptor-type tyrosine-protein phosphatase T (R-PTP-T) (EC 3.1.3.48) (Receptor-type tyrosine-protein phosphatase rho) (RPTP-rho)	1441	IPR013320;IPR003961;IPR057598;IPR036116;IPR007110;IPR036179;IPR013783;IPR000998;IPR029021;IPR000242;IPR051622;IPR016130;IPR003595;IPR000387;
O14525	reviewed	ASTN1_HUMAN	Astrotactin-1	1302	IPR040685;IPR045574;IPR045575;IPR026995;IPR000742;IPR036116;IPR020864;
O14526	reviewed	FCHO1_HUMAN	F-BAR domain only protein 1	889	IPR027267;IPR031160;IPR001060;IPR042735;IPR054713;IPR028565;IPR018808;
O14529	reviewed	CUX2_HUMAN	Homeobox protein cut-like 2 (Homeobox protein cux-2)	1486	IPR003350;IPR057476;IPR001356;IPR017970;IPR009057;IPR010982;
O14559	reviewed	RHG33_HUMAN	Rho GTPase-activating protein 33 (Rho-type GTPase-activating protein 33) (Sorting nexin-26) (Tc10/CDC42 GTPase-activating protein)	1287	IPR051576;IPR036871;IPR008936;IPR000198;IPR036028;IPR001452;
O14578	reviewed	CTRO_HUMAN	Citron Rho-interacting kinase (CRIK) (EC 2.7.11.1) (Serine/threonine-protein kinase 21)	2027	IPR000961;IPR046349;IPR017405;IPR001180;IPR037708;IPR011009;IPR011993;IPR001849;IPR002219;IPR017892;IPR000719;IPR017441;IPR050839;IPR008271;
O14594	reviewed	NCAN_HUMAN	Neurocan core protein (Chondroitin sulfate proteoglycan 3)	1321	IPR001304;IPR016186;IPR018378;IPR016187;IPR000742;IPR001881;IPR000152;IPR018097;IPR050691;IPR007110;IPR036179;IPR013783;IPR003599;IPR013106;IPR000538;IPR035976;IPR000436;
O14607	reviewed	UTY_HUMAN	Histone demethylase UTY (EC 1.14.11.68) (Ubiquitously-transcribed TPR protein on the Y chromosome) (Ubiquitously-transcribed Y chromosome tetratricopeptide repeat protein) ([histone H3]-trimethyl-L-lysine(27) demethylase UTY)	1347	IPR051630;IPR003347;IPR046941;IPR048562;IPR048560;IPR011990;IPR019734;
O14617	reviewed	AP3D1_HUMAN	AP-3 complex subunit delta-1 (AP-3 complex subunit delta) (Adaptor-related protein complex 3 subunit delta-1) (Delta-adaptin)	1153	IPR017105;IPR010474;IPR011989;IPR016024;IPR002553;IPR058898;
O14638	reviewed	ENPP3_HUMAN	Ectonucleotide pyrophosphatase/phosphodiesterase family member 3 (E-NPP 3) (NPP3) (Alkaline phosphodiesterase I) (EC 3.1.4.1) (Dinucleoside polyphosphatase) (EC 3.6.1.-) (Nucleotide diphosphatase) (Nucleotide pyrophosphatase) (NPPase) (EC 3.6.1.9) (Phosphodiesterase I beta) (PD-Ibeta) (Phosphodiesterase I/nucleotide pyrophosphatase 3) (CD antigen CD203c)	875	IPR017850;IPR044929;IPR001604;IPR020821;IPR044925;IPR002591;IPR036024;IPR001212;
O14646	reviewed	CHD1_HUMAN	ATP-dependent chromatin remodeler CHD1 (EC 3.6.4.-) (Chromo domain-containing protein 1) (CHD-1)	1710	IPR040793;IPR056302;IPR025260;IPR016197;IPR000953;IPR023780;IPR023779;IPR014001;IPR001650;IPR027417;IPR038718;IPR049730;IPR000330;
O14647	reviewed	CHD2_HUMAN	ATP-dependent chromatin remodeler CHD2 (EC 3.6.4.-) (Chromo domain-containing protein 2) (CHD-2)	1828	IPR040793;IPR056302;IPR025260;IPR016197;IPR000953;IPR023780;IPR023779;IPR014001;IPR001650;IPR027417;IPR038718;IPR049730;IPR000330;
O14654	reviewed	IRS4_HUMAN	Insulin receptor substrate 4 (IRS-4) (160 kDa phosphotyrosine protein) (py160) (Phosphoprotein of 160 kDa) (pp160)	1257	IPR039011;IPR002404;IPR011993;IPR001849;
O14686	reviewed	KMT2D_HUMAN	Histone-lysine N-methyltransferase 2D (Lysine N-methyltransferase 2D) (EC 2.1.1.364) (ALL1-related protein) (Myeloid/lymphoid or mixed-lineage leukemia protein 2)	5537	IPR034732;IPR003889;IPR003888;IPR009071;IPR036910;IPR041961;IPR041964;IPR047000;IPR046999;IPR003616;IPR001214;IPR046341;IPR037890;IPR011011;IPR001965;IPR019787;IPR001841;IPR013083;
O14727	reviewed	APAF_HUMAN	Apoptotic protease-activating factor 1 (APAF-1)	1248	IPR017251;IPR041452;IPR037963;IPR042197;IPR001315;IPR011029;IPR002182;IPR027417;IPR015943;IPR020472;IPR019775;IPR036322;IPR001680;IPR036388;IPR048975;
O14746	reviewed	TERT_HUMAN	Telomerase reverse transcriptase (EC 2.7.7.49) (HEST2) (Telomerase catalytic subunit) (Telomerase-associated protein 2) (TP2)	1132	IPR043502;IPR000477;IPR021891;IPR003545;IPR049139;
O14776	reviewed	TCRG1_HUMAN	Transcription elongation regulator 1 (TATA box-binding protein-associated factor 2S) (Transcription factor CA150)	1098	IPR002713;IPR036517;IPR045148;IPR001202;IPR036020;IPR057565;
O14786	reviewed	NRP1_HUMAN	Neuropilin-1 (Vascular endothelial cell growth factor 165 receptor) (CD antigen CD304)	923	IPR013320;IPR000859;IPR000421;IPR008979;IPR000998;IPR014648;IPR022579;IPR050633;IPR035914;
O14787	reviewed	TNPO2_HUMAN	Transportin-2 (Karyopherin beta-2b)	897	IPR011989;IPR016024;IPR000357;IPR058584;IPR001494;IPR040122;
